IPC,CPN,IDENTIFIER_TYPE,COLLEGE_ID,PROVIDER_ROLE_TYPE,MSPID,NAME_PREFIX,FIRST_NAME,SECOND_NAME,THIRD_NAME,LAST_NAME,SUFFIX,GENDER,DATE_OF_BIRTH,STATUS_CODE,STATUS_REASON_CD,STATUS_START_DT,STATUS_EXPIRY_DT,EXPERTISE,LANGUAGES,ADD1_LINE1,ADD1_LINE2,ADD1_LINE3,CITY1,PROVINCE1,COUNTRY1,POSTAL_CODE1,ADD1_START_DATE,CREDENTIALS,TEL_AREA_CD,TEL_NUMBER,FAX_AREA_CD,FAX_NUMBER,EMAIL,CONDITION_CODE,CONDITION_START_DATE,CONDITION_END_DATE
IPC.PIDP00001.PHID.GS,CPN.PIDP00001,PHID,11111,,,,PIDP,,,ONE,,,12-30-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.PHID.BS,CPN.PIDP00001,PHID,00001,,,,PIDP,,,ONE,,,12-30-1999,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.CPSID.GS,CPN.PIDP00001,CPSID,11111,,,,PIDP,,,ONE,,,12-30-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.CPSID.BS,CPN.PIDP00001,CPSID,00001,,,,PIDP,,,ONE,,,12-30-1999,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.RNID.GS,CPN.PIDP00001,RNID,11111,,,,PIDP,,,ONE,,,12-30-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.RNID.BS,CPN.PIDP00001,RNID,00001,,,,PIDP,,,ONE,,,12-30-1999,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.NDID.GS,CPN.PIDP00001,NDID,11111,,,,PIDP,,,ONE,,,12-30-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00001.NDID.BS,CPN.PIDP00001,NDID,00001,,,,PIDP,,,ONE,,,12-30-1999,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.PHID.GS,CPN.PIDP00002,PHID,22222,,,,PIDP,,,TWO,,,08-18-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.PHID.BS,CPN.PIDP00002,PHID,00002,,,,PIDP,,,TWO,,,08-18-2002,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.CPSID.GS,CPN.PIDP00002,CPSID,22222,,,,PIDP,,,TWO,,,08-18-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.CPSID.BS,CPN.PIDP00002,CPSID,00002,,,,PIDP,,,TWO,,,08-18-2002,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.RNID.GS,CPN.PIDP00002,RNID,22222,,,,PIDP,,,TWO,,,08-18-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.RNID.BS,CPN.PIDP00002,RNID,00002,,,,PIDP,,,TWO,,,08-18-2002,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.NDID.GS,CPN.PIDP00002,NDID,22222,,,,PIDP,,,TWO,,,08-18-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00002.NDID.BS,CPN.PIDP00002,NDID,00002,,,,PIDP,,,TWO,,,08-18-2002,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.PHID.GS,CPN.PIDP00003,PHID,33333,,,,PIDP,,,THREE,,,02-22-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.PHID.BS,CPN.PIDP00003,PHID,00003,,,,PIDP,,,THREE,,,02-22-2002,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.CPSID.GS,CPN.PIDP00003,CPSID,33333,,,,PIDP,,,THREE,,,02-22-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.CPSID.BS,CPN.PIDP00003,CPSID,00003,,,,PIDP,,,THREE,,,02-22-2002,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.RNID.GS,CPN.PIDP00003,RNID,33333,,,,PIDP,,,THREE,,,02-22-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.RNID.BS,CPN.PIDP00003,RNID,00003,,,,PIDP,,,THREE,,,02-22-2002,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.NDID.GS,CPN.PIDP00003,NDID,33333,,,,PIDP,,,THREE,,,02-22-2002,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00003.NDID.BS,CPN.PIDP00003,NDID,00003,,,,PIDP,,,THREE,,,02-22-2002,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.PHID.GS,CPN.PIDP00004,PHID,44444,,,,PIDP,,,FOUR,,,03-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.PHID.BS,CPN.PIDP00004,PHID,00004,,,,PIDP,,,FOUR,,,03-22-2000,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.CPSID.GS,CPN.PIDP00004,CPSID,44444,,,,PIDP,,,FOUR,,,03-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.CPSID.BS,CPN.PIDP00004,CPSID,00004,,,,PIDP,,,FOUR,,,03-22-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.RNID.GS,CPN.PIDP00004,RNID,44444,,,,PIDP,,,FOUR,,,03-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.RNID.BS,CPN.PIDP00004,RNID,00004,,,,PIDP,,,FOUR,,,03-22-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.NDID.GS,CPN.PIDP00004,NDID,44444,,,,PIDP,,,FOUR,,,03-22-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00004.NDID.BS,CPN.PIDP00004,NDID,00004,,,,PIDP,,,FOUR,,,03-22-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.PHID.GS,CPN.PIDP00005,PHID,55555,,,,PIDP,,,FIVE,,,06-07-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.PHID.BS,CPN.PIDP00005,PHID,00005,,,,PIDP,,,FIVE,,,06-07-2000,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.CPSID.GS,CPN.PIDP00005,CPSID,55555,,,,PIDP,,,FIVE,,,06-07-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.CPSID.BS,CPN.PIDP00005,CPSID,00005,,,,PIDP,,,FIVE,,,06-07-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.RNID.GS,CPN.PIDP00005,RNID,55555,,,,PIDP,,,FIVE,,,06-07-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.RNID.BS,CPN.PIDP00005,RNID,00005,,,,PIDP,,,FIVE,,,06-07-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.NDID.GS,CPN.PIDP00005,NDID,55555,,,,PIDP,,,FIVE,,,06-07-2000,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00005.NDID.BS,CPN.PIDP00005,NDID,00005,,,,PIDP,,,FIVE,,,06-07-2000,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.PHID.GS,CPN.PIDP00006,PHID,66666,,,,PIDP,,,SIX,,,01-17-2001,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.PHID.BS,CPN.PIDP00006,PHID,00006,,,,PIDP,,,SIX,,,01-17-2001,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.CPSID.GS,CPN.PIDP00006,CPSID,66666,,,,PIDP,,,SIX,,,01-17-2001,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.CPSID.BS,CPN.PIDP00006,CPSID,00006,,,,PIDP,,,SIX,,,01-17-2001,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.RNID.GS,CPN.PIDP00006,RNID,66666,,,,PIDP,,,SIX,,,01-17-2001,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.RNID.BS,CPN.PIDP00006,RNID,00006,,,,PIDP,,,SIX,,,01-17-2001,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.NDID.GS,CPN.PIDP00006,NDID,66666,,,,PIDP,,,SIX,,,01-17-2001,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00006.NDID.BS,CPN.PIDP00006,NDID,00006,,,,PIDP,,,SIX,,,01-17-2001,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.PHID.GS,CPN.PIDP00007,PHID,77777,,,,PIDP,,,SEVEN,,,11-26-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.PHID.BS,CPN.PIDP00007,PHID,00007,,,,PIDP,,,SEVEN,,,11-26-1999,TERMINATED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.CPSID.GS,CPN.PIDP00007,CPSID,77777,,,,PIDP,,,SEVEN,,,11-26-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.CPSID.BS,CPN.PIDP00007,CPSID,00007,,,,PIDP,,,SEVEN,,,11-26-1999,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.RNID.GS,CPN.PIDP00007,RNID,77777,,,,PIDP,,,SEVEN,,,11-26-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.RNID.BS,CPN.PIDP00007,RNID,00007,,,,PIDP,,,SEVEN,,,11-26-1999,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.NDID.GS,CPN.PIDP00007,NDID,77777,,,,PIDP,,,SEVEN,,,11-26-1999,ACTIVE,PRAC,,,,,,,,,,,,,,,,,,,,,
IPC.PIDP00007.NDID.BS,CPN.PIDP00007,NDID,00007,,,,PIDP,,,SEVEN,,,11-26-1999,SUSPENDED,NONPRAC,,,,,,,,,,,,,,,,,,,,,
